timestamp	annotations	busco	retry	giveup
2026-03-04T19:32:08Z	14800	14104	0	1392
2026-03-04T19:32:42Z	14800	14104	0	1392
2026-03-04T19:54:59Z	14800	14104	0	696
2026-03-04T20:54:54Z	14800	14104	0	696
2026-03-06T12:58:59Z	14800	14104	0	696
2026-03-09T12:10:28Z	14844	14147	1	696
2026-03-11T17:16:42Z	14844	14147	0	697
2026-03-11T17:28:20Z	14844	14147	0	697
2026-03-16T13:23:42Z	14892	14194	0	698
2026-03-24T11:36:28Z	14952	14254	0	698
2026-03-31T11:47:43Z	15003	14304	0	699
2026-04-07T07:59:29Z	15148	14446	0	702
2026-04-20T20:10:46Z	15233	14531	0	702
2026-04-27T13:48:46Z	15283	14582	0	701
2026-05-08T10:00:45Z	15308	14606	1	701
2026-05-12T08:18:13Z	15327	14622	0	705
2026-06-22T10:15:13Z	15810	14937	0	873
